,Name,Location,Brands
0,10 CORSO COMO,"Milan, Italy","Acne Studio, Alaia, Balenciaga, Cecilie Bahansen, Comme des Garcons, Junya Watanabe, Loewe, Maison Margiela, Manolo Blahnik, Molly Goddard, Paul Smith, Raf Simons, Sacai, Simone Rocha, Stella McCartney., Stone Island"
1,13METRIQUADRI,"Bellaria, Italy","Ami, Each x Other, Golden Goose Deluxe Brand, Iro, Junya Watanabe, MM6 Maison Margiela, Palm Angels"
2,4,"Shuwaikh, Kuwait","Ann Demeulemeester, Gareth Pugh, Haider Ackermann, Mugler, Rick Owens, Yohji Yamamoto"
3,400M2,"Marseille, France","32 Paradis, Alexander McQueen, Alexandre Vauthier, Assouline, Burberry, Courreges, Fendi, Givenchy, Rick Owens, Sergio Rossi, Stella McCartney"
4,58M,"Paris, France","Anya Hindmarch, Chie Mihara, Church's, Comme des Garçons, K Jacques, Kenzo, Laurence Dacade, Maison Margiela, Marc by Marc Jacobs, Michel Vivien, Repetto, Terry de Haviland, Véronique Branquinho"
5,A.M.R.,"Chiavari, Italy","Burberry, Chloé, Current Elliott, Dolce & Gabbana, Dsquared2, Jil Sander, Moncler, Paul Smith, Saint Laurent, Stella McCartney, Valentino"
6,A.N.G.E.L.O VINTAGE,"Lugo di Ravenna, Italy","Chanel Vintage, Emilio Pucci Vintage, Givenchy Vintage, Gucci Vintage, Hermès Vintage, Missoni Vintage, Yohji Yamamoto Vintage"
7,A.PLUS STORE,"Hamburg, Germany","AFFXWRKS, Acronym, Aries, Cav Empt, Comme des Garçons Shirt, Henrik Vibskov, Magic Stick, Nanamica, Porter by Yoshida, Salomon, Suicoke, Wacko Maria"
8,ABSEITS,"Stuttgart, Germany","Balmain, Dsquared2, MSGM, Marc Jacobs, N°21, Off-White, Rick Owens, Valentino"
9,ACCENT,"Leeds, United Kingdom","Agolde, Belstaff, Billionaire Boys Club, Emporio Armani, Free People, Juicy Couture, Mallet, Oliver Sweeney, Olivia Ruben, Paige, Replay, Represent"
10,ACTUEL B,"Avignon, France","Alexander Wang, Carven, Church’s, Comme des Garçons, Givenchy, Haider Ackermann, Joseph, Junya Watanabe, Kitsuné, Lanvin, Maison Margiela, Marc Jacobs, Moncler, Rick Owens, Rochas, Saint Laurent, Tod’s, Valentino"
11,ADEKUVER,"Seoul, Korea, Republic of","Aganovich, Akira Naka, Ben Taverniti Unravel, Boyarovskaya, Hyke, Lena Lumelsky, Maison Margiela MM6, Mame Kugorouchi, Marta Jakubowski, Shan Shan Ruan, Yang Li, suzusan"
12,ADELAIDE JP,"Tokyo, Japan","Balenciaga, Dries Van Noten, Jacquemus, Jil Sander, Loewe, Maison Margiela, Marine Serre, Peter Do, The Row, Vetements, Y/Project"
13,AETOS SRL,"Arona, Italy","Charlotte Simone, Chiara Ferragni, DKNY, Faith Connexion, Jil Sander, MSGM, Moncler, Moschino, P.A.R.O.S.H, Rick Owens, Sacai, Stella McCartney, Versus, Vivetta"
14,AFURA,"Amsterdam, Netherlands","Ally Capellino, Côte & Ciel, Grenson, Vans"
15,AIMEE,"Madrid, Spain","Alberto Fasciani, Barbara Bologna, Cecchi de Rossi, Fiorentine + Baker, Guidi, INK, Marsell, NDC by Hand Made, Pantanetti, Roberto del Carlo, Sartori Gold, The Last Conspiracy"
16,AL DUCA D'AOSTA,"Mestre, Italy","Alexander McQueen, Chloé, Dolce & Gabbana, Ermenegildo Zegna, Givenchy, Moncler, Saint Laurent, Salvatore Ferragamo, Valentino"
